iter,train_loss,val_loss,lr,tok_per_s,vram_gb,tokens_b
0,10.642,9.907,0.0002,43180,62.72,0.0
20,7.722,7.769,0.00059,58491,66.73,0.001
40,7.651,7.636,0.000554,61657,66.73,0.002
60,7.212,7.226,0.000496,62815,66.73,0.003
80,6.893,6.987,0.000421,63415,66.73,0.004
100,6.764,6.815,0.000336,62773,66.73,0.005
120,6.656,6.669,0.000251,63172,66.73,0.006
140,6.528,6.553,0.000174,63460,66.73,0.007
160,6.468,6.521,0.000113,63678,66.73,0.008
180,6.483,6.457,7.36e-05,63286,66.73,0.009
200,6.416,6.422,6e-05,63470,66.73,0.01
0,10.63,10.612,3.93e-07,3770,50.59,0.0
20,8.789,8.694,8.26e-06,35717,54.64,0.003
40,8.368,8.189,1.61e-05,53441,54.64,0.005
60,7.69,7.651,2.4e-05,64418,54.64,0.008
80,7.34,7.259,3.18e-05,71894,54.64,0.011
100,6.938,6.944,3.97e-05,76611,54.64,0.013
120,6.695,6.721,4.76e-05,80759,54.64,0.016
140,6.494,6.521,5.54e-05,84013,54.64,0.018
160,6.276,6.387,6.33e-05,86633,54.64,0.021
180,6.206,6.238,7.12e-05,88251,54.64,0.024
200,6.033,6.069,7.9e-05,90097,54.64,0.026
220,5.861,5.994,8.69e-05,91668,54.64,0.029
240,5.848,5.874,9.48e-05,93020,54.64,0.032
260,5.735,5.759,0.000103,93617,54.64,0.034
280,5.705,5.651,0.00011,94682,54.64,0.037
300,5.605,5.618,0.000118,95628,54.64,0.039
320,5.487,5.551,0.000126,96464,54.64,0.042
340,5.537,5.446,0.000134,96865,54.64,0.045
360,5.389,5.352,0.000142,97563,54.64,0.047
380,5.239,5.318,0.00015,98125,54.64,0.05
400,5.289,5.234,0.000158,98703,54.64,0.053
420,5.126,5.142,0.000166,98937,54.64,0.055
440,4.946,5.11,0.000173,99436,54.64,0.058
460,5.036,5.016,0.000181,97770,54.64,0.06
480,5.115,5.01,0.000189,98269,54.64,0.063
500,4.915,4.98,0.000197,98478,54.64,0.066
520,4.869,4.915,0.000205,95096,54.64,0.068
540,4.864,4.844,0.000213,95610,54.64,0.071
560,4.69,4.785,0.000221,96088,54.64,0.074
580,4.731,4.81,0.000228,96315,54.64,0.076
600,4.782,4.761,0.000236,96744,54.64,0.079
620,4.562,4.736,0.000244,97150,54.64,0.081
640,4.497,4.671,0.000252,97535,54.64,0.084
660,4.648,4.608,0.00026,97717,54.64,0.087
680,4.518,4.594,0.000268,98066,54.64,0.089
700,4.476,4.554,0.000276,98398,54.64,0.092
720,4.472,4.452,0.000283,98709,54.64,0.095
740,4.395,4.441,0.000291,98837,54.64,0.097
760,4.431,4.41,0.000299,99122,54.64,0.1
780,4.285,4.377,0.000307,99397,54.64,0.102
800,4.469,4.402,0.000315,99660,54.64,0.105
820,4.102,4.308,0.000323,99755,54.64,0.108
840,4.349,4.299,0.000331,99997,54.64,0.11
860,4.298,4.279,0.000339,100225,54.64,0.113
880,4.214,4.206,0.000346,100450,54.64,0.115
900,4.203,4.229,0.000354,100520,54.64,0.118
920,4.204,4.214,0.000362,100620,54.64,0.121
940,4.08,4.233,0.00037,100823,54.64,0.123
960,4.087,4.153,0.000378,101019,54.64,0.126
980,4.067,4.121,0.000386,101073,54.64,0.129
1000,4.382,4.131,0.000394,100224,54.64,0.131
1020,4.081,4.069,0.000401,98464,54.64,0.134
1040,4.133,4.124,0.000409,98684,54.64,0.136
1060,4.078,4.117,0.000417,98772,54.64,0.139
1080,4.116,4.073,0.000425,98974,54.64,0.142
1100,4.03,4.052,0.000433,99154,54.64,0.144
1120,4.046,4.066,0.000441,99346,54.64,0.147
1140,3.963,3.976,0.000449,99419,54.64,0.15
1160,4.183,4.049,0.000456,99600,54.64,0.152
1180,3.959,3.981,0.000464,99775,54.64,0.155
1200,3.952,3.954,0.000472,99943,54.64,0.157
1220,3.954,3.973,0.00048,100002,54.64,0.16
1240,3.955,3.978,0.000488,100164,54.64,0.163
1260,3.894,3.928,0.000496,100322,54.64,0.165
1280,3.933,3.982,0.000504,100456,54.64,0.168
1300,4.085,3.94,0.000512,100506,54.64,0.171
1320,3.948,3.938,0.000519,100649,54.64,0.173
1340,3.886,3.933,0.000527,100790,54.64,0.176
1360,3.84,3.897,0.000535,100927,54.64,0.178
1380,3.918,3.876,0.000543,100967,54.64,0.181
1400,4.006,3.842,0.000551,101098,54.64,0.184
1420,3.748,3.843,0.000559,101225,54.64,0.186
1440,3.934,3.866,0.000567,101261,54.64,0.189
1460,3.787,3.88,0.000574,101294,54.64,0.191
1480,3.848,3.835,0.000582,101416,54.64,0.194
1500,3.821,3.888,0.00059,100849,54.64,0.197
1520,3.859,3.858,0.000598,99698,54.64,0.199
1540,3.851,3.867,0.0006,99750,54.64,0.202
1560,3.882,3.817,0.0006,99881,54.64,0.205
1580,3.695,3.824,0.0006,100008,54.64,0.207
1600,3.886,3.786,0.0006,100133,54.64,0.21
1620,3.772,3.808,0.0006,100173,54.64,0.212
1640,3.897,3.805,0.0006,100293,54.64,0.215
1660,3.719,3.771,0.0006,100411,54.64,0.218
1680,3.766,3.783,0.0006,100526,54.64,0.22
1700,3.711,3.828,0.0006,100545,54.64,0.223
1720,3.665,3.753,0.0006,100654,54.64,0.226
1740,3.777,3.755,0.0006,100762,54.64,0.228
1760,3.628,3.758,0.0006,100868,54.64,0.231
1780,3.699,3.734,0.0006,100900,54.64,0.233
1800,3.919,3.676,0.0006,101002,54.64,0.236
1820,3.581,3.749,0.0006,101102,54.64,0.239
1840,3.668,3.731,0.0006,101201,54.64,0.241
1860,3.766,3.719,0.0006,101226,54.64,0.244
1880,3.671,3.685,0.0006,101321,54.64,0.247
1900,3.766,3.654,0.0006,101415,54.64,0.249
1920,3.724,3.714,0.0006,101507,54.64,0.252
1940,3.731,3.655,0.0006,101514,54.64,0.254
1960,3.734,3.704,0.0006,101603,54.64,0.257
1980,3.661,3.676,0.0006,101690,54.64,0.26
2000,3.635,3.667,0.0006,101243,54.64,0.262
2020,3.625,3.65,0.0006,100233,54.64,0.265
2040,3.651,3.664,0.0006,100330,54.64,0.268
2060,3.696,3.585,0.0006,100425,54.64,0.27
2080,3.748,3.676,0.0006,100517,54.64,0.273
2100,3.699,3.644,0.0006,100551,54.64,0.275
2120,3.668,3.639,0.0006,100642,54.64,0.278
2140,3.687,3.615,0.0006,100730,54.64,0.281
2160,3.661,3.675,0.0006,100817,54.64,0.283
2180,3.577,3.619,0.0006,100849,54.64,0.286
2200,3.612,3.605,0.0006,100934,54.64,0.288
2220,3.556,3.564,0.0006,101017,54.64,0.291
2240,3.516,3.618,0.0006,101099,54.64,0.294
2260,3.537,3.611,0.0006,101127,54.64,0.296
2280,3.505,3.62,0.0006,101207,54.64,0.299
2300,3.567,3.619,0.0006,101285,54.64,0.302
2320,3.489,3.563,0.0006,101362,54.64,0.304
2340,3.64,3.595,0.0006,101386,54.64,0.307
2360,3.527,3.567,0.0006,101461,54.64,0.309
2380,3.466,3.529,0.0006,101535,54.64,0.312
2400,3.527,3.547,0.0006,101608,54.64,0.315
2420,3.53,3.599,0.0006,101630,54.64,0.317
2440,3.649,3.549,0.0006,101700,54.64,0.32
2460,3.499,3.583,0.0006,101770,54.64,0.323
2480,3.626,3.516,0.0006,101838,54.64,0.325
2500,3.511,3.575,0.0006,101438,54.64,0.328
2520,3.553,3.575,0.0006,100665,54.64,0.33
2540,3.466,3.552,0.0006,100741,54.64,0.333
2560,3.597,3.547,0.0006,100814,54.64,0.336
2580,3.542,3.526,0.0006,100840,54.64,0.338
